product_id,line,batch_count,tray_no,position,rank
P10000035114,1,351,1,14,B
P10000035205,1,352,16,5,D
P10000035210,1,352,16,10,D
P10000035215,1,352,16,15,C
P10000035305,1,353,30,5,C
P10000035416,1,354,29,16,C
P10000035502,1,355,10,2,B
P10000035514,1,355,10,14,C
P10000035604,1,356,9,4,B
P10000035616,1,356,9,16,C
P10000035706,1,357,13,6,B
P10000035713,1,357,13,13,D
P10000035914,1,359,6,14,C
P10000036002,1,360,18,2,B
P10000036101,1,361,22,1,C
P10000036111,1,361,22,11,C
P10000036204,1,362,11,4,C
P10000036208,1,362,11,8,C
P10000036214,1,362,11,14,C
P10000036306,1,363,20,6,D
P10000036314,1,363,20,14,D
P10000036510,1,365,21,10,B
P10000036615,1,366,27,15,B
P10000036707,1,367,4,7,D
P10000036711,1,367,4,11,D
P10000036713,1,367,4,13,D
P10000037012,1,370,24,12,C
P10000037105,1,371,5,5,C
P10000037110,1,371,5,10,B
P10000037206,1,372,3,6,C
P10000037402,1,374,7,2,A
P10000037406,1,374,7,6,D
P10000037411,1,374,7,11,C
P10000037611,1,376,14,11,A
P10000037704,1,377,8,4,D
P10000037815,1,378,28,15,D
P10000037910,1,379,2,10,C
P10000038003,1,380,17,3,C
P10000038015,1,380,17,15,C
P10000038102,1,381,1,2,C
P10000038106,1,381,1,6,C
P10000038114,1,381,1,14,B
P10000038214,1,382,16,14,B
P10000038501,1,385,10,1,B
P10000038506,1,385,10,6,C
P10000038516,1,385,10,16,D
P10000038605,1,386,9,5,B
P10000038710,1,387,13,10,D
P10000038810,1,388,12,10,C
P10000039109,1,391,22,9,C
P10000039116,1,391,22,16,D
P10000039210,1,392,11,10,C
P10000039214,1,392,11,14,B
P10000039613,1,396,27,13,D
P10000039809,1,398,25,9,C
P10000039901,1,399,23,1,C
P10000039904,1,399,23,4,C
P10000040116,1,401,5,16,C
P10000040213,1,402,3,13,D
P10000040214,1,402,3,14,C
P10000040304,1,403,26,4,D
P10000040401,1,404,7,1,B
P10000040403,1,404,7,3,B
P10000040405,1,404,7,5,C
P10000040408,1,404,7,8,D
P10000040411,1,404,7,11,D
P10000040604,1,406,14,4,C
P10000040607,1,406,14,7,B
P10000040808,1,408,28,8,C
P10000040811,1,408,28,11,A
P10000040812,1,408,28,12,D
P10000041012,1,410,17,12,D
P10000041206,1,412,16,6,B
P10000041211,1,412,16,11,B
P10000041214,1,412,16,14,B
P10000041305,1,413,30,5,D
P10000041309,1,413,30,9,D
P10000041408,1,414,29,8,C
P10000041416,1,414,29,16,C
P10000041516,1,415,10,16,D
P10000041614,1,416,9,14,A
P10000041801,1,418,12,1,C
P10000042201,1,422,11,1,C
P10000042301,1,423,20,1,D
P10000042314,1,423,20,14,C
P10000042315,1,423,20,15,B
P10000042603,1,426,27,3,B
P10000042901,1,429,23,1,C
P10000042902,1,429,23,2,B
P10000042911,1,429,23,11,A
P10000042912,1,429,23,12,D
P10000042915,1,429,23,15,A
P10000043105,1,431,5,5,C
P10000043108,1,431,5,8,C
P10000043111,1,431,5,11,C
P10000043313,1,433,26,13,D
P10000043608,1,436,14,8,D
P10000043715,1,437,8,15,C
P10000043816,1,438,28,16,D
P10000043911,1,439,2,11,B
P10000043912,1,439,2,12,B
P10000043915,1,439,2,15,A
P10000044003,1,440,17,3,C
P10000044006,1,440,17,6,D
P10000044116,1,441,1,16,C
P10000044212,1,442,16,12,B
P10000044216,1,442,16,16,B
P10000044516,1,445,10,16,C
P10000044607,1,446,9,7,B
P10000044608,1,446,9,8,B
P10000044609,1,446,9,9,C
P10000044815,1,448,12,15,B
P10000044910,1,449,6,10,C
P10000045003,1,450,18,3,B
P10000045011,1,450,18,11,C
P10000045205,1,452,11,5,C
P10000045402,1,454,15,2,C
P10000045411,1,454,15,11,D
P10000045415,1,454,15,15,B
P10000045701,1,457,4,1,D
P10000045806,1,458,25,6,C
P10000045809,1,458,25,9,D
P10000046001,1,460,24,1,D
P10000046005,1,460,24,5,C
P10000046109,1,461,5,9,C
P10000046207,1,462,3,7,C
P10000046216,1,462,3,16,C
P10000046408,1,464,7,8,B
P10000046409,1,464,7,9,D
P10000046510,1,465,19,10,B
P10000046601,1,466,14,1,C
P10000046608,1,466,14,8,B
P10000046614,1,466,14,14,B
P10000046703,1,467,8,3,A
P10000046707,1,467,8,7,B
P10000046711,1,467,8,11,A
P10000046801,1,468,28,1,D
P10000046811,1,468,28,11,D
P10000046903,1,469,2,3,B
P10000046908,1,469,2,8,C
P10000046916,1,469,2,16,C
P10000047103,1,471,1,3,D
P10000047204,1,472,16,4,B
P10000047215,1,472,16,15,A
P10000047616,1,476,9,16,D
P10000047912,1,479,6,12,D
P10000047914,1,479,6,14,A
P10000048007,1,480,18,7,C
P10000048011,1,480,18,11,C
P10000048012,1,480,18,12,D
P10000048107,1,481,22,7,D
P10000048112,1,481,22,12,D
P10000048201,1,482,11,1,D
P10000048203,1,482,11,3,D
P10000048311,1,483,20,11,C
P10000048316,1,483,20,16,C
P10000048404,1,484,15,4,C
P10000048408,1,484,15,8,C
P10000048508,1,485,21,8,D
P10000048605,1,486,27,5,C
P10000048709,1,487,4,9,C
P10000048806,1,488,25,6,C
P10000048808,1,488,25,8,D
P10000049007,1,490,24,7,B
P10000049108,1,491,5,8,B
P10000049208,1,492,3,8,D
P10000049310,1,493,26,10,D
P10000049315,1,493,26,15,C
P10000049408,1,494,7,8,C
P10000049411,1,494,7,11,A
P10000049414,1,494,7,14,B
P10000049516,1,495,19,16,D
P10000049707,1,497,8,7,C
P10000049801,1,498,28,1,D
P10000049813,1,498,28,13,D
P10000050102,1,501,1,2,B
P10000050106,1,501,1,6,B
P10000050107,1,501,1,7,B
P10000050111,1,501,1,11,C
P10000050216,1,502,16,16,C
P10000050303,1,503,30,3,B
P10000050313,1,503,30,13,D
P10000050404,1,504,29,4,B
P10000050415,1,504,29,15,B
P10000050507,1,505,10,7,B
P10000050603,1,506,9,3,A
P10000050608,1,506,9,8,B
P10000050804,1,508,12,4,B
P10000050913,1,509,6,13,C
P10000051001,1,510,18,1,C
P10000051013,1,510,18,13,C
P10000051016,1,510,18,16,D
P10000051106,1,511,22,6,D
P10000051115,1,511,22,15,A
P10000051209,1,512,11,9,D
P10000051302,1,513,20,2,D
P10000051312,1,513,20,12,C
P10000051406,1,514,15,6,C
P10000051509,1,515,21,9,D
P10000051601,1,516,27,1,C
P10000051902,1,519,23,2,A
P10000051908,1,519,23,8,D
P10000052010,1,520,24,10,D
P10000052103,1,521,5,3,B
P10000052209,1,522,3,9,D
P10000052403,1,524,7,3,A
P10000052407,1,524,7,7,B
P10000052408,1,524,7,8,B
P10000052702,1,527,8,2,D
P10000052713,1,527,8,13,D
P10000052809,1,528,28,9,D
P10000053001,1,530,17,1,C
P10000053005,1,530,17,5,D
P10000053110,1,531,1,10,C
P10000053212,1,532,16,12,B
P10000053303,1,533,30,3,C
P10000053315,1,533,30,15,C
P10000053402,1,534,29,2,B
P10000053403,1,534,29,3,B
P10000053404,1,534,29,4,C
P10000053409,1,534,29,9,D
P10000053410,1,534,29,10,C
P10000053603,1,536,9,3,B
P10000053705,1,537,13,5,D
P10000053713,1,537,13,13,C
P10000053801,1,538,12,1,B
P10000053902,1,539,6,2,C
P10000054011,1,540,18,11,B
P10000054101,1,541,22,1,D
P10000054102,1,541,22,2,C
P10000054115,1,541,22,15,B
P10000054214,1,542,11,14,D
P10000054306,1,543,20,6,C
P10000054401,1,544,15,1,D
P10000054402,1,544,15,2,B
P10000054405,1,544,15,5,C
P10000054705,1,547,4,5,D
P10000054714,1,547,4,14,D
P10000054808,1,548,25,8,C
P10000054907,1,549,23,7,B
P10000054914,1,549,23,14,C
P10000054916,1,549,23,16,B
P10000055106,1,551,5,6,D
P10000055113,1,551,5,13,D
P10000055209,1,552,3,9,D
P10000055304,1,553,26,4,D
P10000055306,1,553,26,6,B
P10000055601,1,556,14,1,D
P10000055609,1,556,14,9,D
P10000055701,1,557,8,1,D
P10000055713,1,557,8,13,D
P10000055910,1,559,2,10,D
P10000056004,1,560,17,4,D
P10000056006,1,560,17,6,B
P10000056009,1,560,17,9,D
P10000056016,1,560,17,16,D
P10000056101,1,561,1,1,C
P10000056116,1,561,1,16,C
P10000056211,1,562,16,11,C
P10000056212,1,562,16,12,B
P10000056316,1,563,30,16,C
P10000056402,1,564,29,2,C
P10000056408,1,564,29,8,C
P10000056702,1,567,13,2,C
P10000056802,1,568,12,2,B
P10000056814,1,568,12,14,B
P10000056908,1,569,6,8,B
P10000056912,1,569,6,12,C
P10000056916,1,569,6,16,C
P10000057008,1,570,18,8,D
P10000057101,1,571,22,1,D
P10000057104,1,571,22,4,C
P10000057201,1,572,11,1,D
P10000057302,1,573,20,2,B
P10000057315,1,573,20,15,C
P10000057414,1,574,15,14,D
P10000057702,1,577,4,2,B
P10000057703,1,577,4,3,C
P10000057711,1,577,4,11,B
P10000057712,1,577,4,12,C
P10000057814,1,578,25,14,C
P10000057913,1,579,23,13,D
P10000058003,1,580,24,3,B
P10000058015,1,580,24,15,B
P10000058101,1,581,5,1,D
P10000058102,1,581,5,2,C
P10000058106,1,581,5,6,C
P10000058107,1,581,5,7,C
P10000058209,1,582,3,9,D
P10000058313,1,583,26,13,D
P10000058403,1,584,7,3,D
P10000058414,1,584,7,14,D
P10000058703,1,587,8,3,C
P10000058706,1,587,8,6,D
P10000058707,1,587,8,7,D
P10000058709,1,587,8,9,D
P10000058807,1,588,28,7,C
P10000058812,1,588,28,12,D
P10000058813,1,588,28,13,D
P10000058815,1,588,28,15,C
P10000059015,1,590,17,15,C
P10000059203,1,592,16,3,A
P10000059204,1,592,16,4,B
P10000059304,1,593,30,4,C
P10000059406,1,594,29,6,D
P10000059514,1,595,10,14,A
P10000059608,1,596,9,8,D
P10000059615,1,596,9,15,B
P10000059804,1,598,12,4,D
P10000059805,1,598,12,5,D
P10000059815,1,598,12,15,A
P10000060113,1,601,22,13,D
P10000060211,1,602,11,11,C
P10000060302,1,603,20,2,B
P10000060404,1,604,15,4,C
P10000060411,1,604,15,11,A
P10000060416,1,604,15,16,C
P10000060711,1,607,4,11,B
P10000060802,1,608,25,2,B
P10000060803,1,608,25,3,C
P10000060810,1,608,25,10,B
P10000060906,1,609,23,6,B
P10000061103,1,611,5,3,D
P10000061212,1,612,3,12,C
P10000061315,1,613,26,15,C
P10000061408,1,614,7,8,C
P10000061411,1,614,7,11,B
P10000061506,1,615,19,6,C
P10000061509,1,615,19,9,D
P10000061603,1,616,14,3,B
P10000061609,1,616,14,9,D
P10000061614,1,616,14,14,B
P10000061812,1,618,28,12,C
P10000061909,1,619,2,9,D
P10000062007,1,620,17,7,D
P10000062102,1,621,1,2,B
P10000062203,1,622,16,3,D
P10000062702,1,627,13,2,B
P10000062805,1,628,12,5,B
P10000062808,1,628,12,8,D
P10000062813,1,628,12,13,B
P10000062906,1,629,6,6,B
P10000063005,1,630,18,5,D
P10000063008,1,630,18,8,D
P10000063205,1,632,11,5,D
P10000063303,1,633,20,3,D
P10000063405,1,634,15,5,B
P10000063406,1,634,15,6,B
P10000063411,1,634,15,11,B
P10000063609,1,636,27,9,D
P10000063709,1,637,4,9,D
P10000063906,1,639,23,6,B
P10000063913,1,639,23,13,C
P10000064008,1,640,24,8,D
P10000064009,1,640,24,9,D
P10000064011,1,640,24,11,C
P10000064016,1,640,24,16,C
P10000064511,1,645,19,11,C
P10000064516,1,645,19,16,D
P10000064702,1,647,8,2,D
P10000064704,1,647,8,4,B
P10000064706,1,647,8,6,D
P10000064709,1,647,8,9,D
P10000064806,1,648,28,6,B
P10000064808,1,648,28,8,D
P10000064906,1,649,2,6,D
P10000064913,1,649,2,13,D
P10000064915,1,649,2,15,B
P10000065002,1,650,17,2,D
P10000065101,1,651,1,1,D
P10000065106,1,651,1,6,D
P10000065206,1,652,16,6,D
P10000065208,1,652,16,8,B
P10000065212,1,652,16,12,C
P10000065213,1,652,16,13,D
P10000065303,1,653,30,3,B
P10000065312,1,653,30,12,D
P10000065416,1,654,29,16,B
P10000065501,1,655,10,1,D
P10000065505,1,655,10,5,D
P10000065605,1,656,9,5,D
P10000065707,1,657,13,7,B
P10000065710,1,657,13,10,B
P10000065802,1,658,12,2,B
P10000065808,1,658,12,8,C
P10000065905,1,659,6,5,B
P10000065910,1,659,6,10,A
P10000065916,1,659,6,16,D
P10000066004,1,660,18,4,C
P10000066103,1,661,22,3,C
P10000066215,1,662,11,15,B
P10000066302,1,663,20,2,D
P10000066315,1,663,20,15,B
P10000066403,1,664,15,3,B
P10000066405,1,664,15,5,D
P10000066410,1,664,15,10,D
P10000066504,1,665,21,4,D
P10000066505,1,665,21,5,C
P10000066514,1,665,21,14,B
P10000066602,1,666,27,2,B
P10000066603,1,666,27,3,C
P10000066610,1,666,27,10,C
P10000066613,1,666,27,13,B
P10000066705,1,667,4,5,D
P10000066805,1,668,25,5,D
P10000066904,1,669,23,4,C
P10000066913,1,669,23,13,C
P10000066915,1,669,23,15,B
P10000067007,1,670,24,7,C
P10000067010,1,670,24,10,D
P10000067011,1,670,24,11,D
P10000067015,1,670,24,15,C
P10000067104,1,671,5,4,D
P10000067105,1,671,5,5,D
P10000067110,1,671,5,10,D
P10000067115,1,671,5,15,D
P10000067203,1,672,3,3,D
P10000067405,1,674,7,5,D
P10000067415,1,674,7,15,C
P10000067511,1,675,19,11,C
P10000067515,1,675,19,15,B
P10000067516,1,675,19,16,C
P10000067602,1,676,14,2,B
P10000067610,1,676,14,10,B
P10000067702,1,677,8,2,D
P10000067716,1,677,8,16,D
P10000067804,1,678,28,4,C
P10000067815,1,678,28,15,B
P10000068016,1,680,17,16,D
P10000068107,1,681,1,7,D
P10000068207,1,682,16,7,B
P10000068214,1,682,16,14,C
